CT_id	Drugbank_id	DG_id	Drug name	CT Title	Status	Phase	Source		Term import ID	COVoc ID	Preferred label	Definition	Trial drug involved	Synonym	Narrow synonym	Broad synonym	Related synonym	x-refs	Comment
NCT04315987			NestCell	NestCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia (HOPE)	Not yet recruiting	1	https://clinicaltrials.gov/ct2/show/NCT04315987?cond=COVID-19&draw=4&rank=22		COVOC:0040030	NCT:04317040	NCT04317040 clinical trial	CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment (SAC-COVID)	COVOC:0030011						
NCT04273529			Thalidomide	The Efficacy and Safety of Thalidomide in the Adjuvant Treatment of Moderate New Coronavirus (COVID-19) Pneumonia	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04273529?cond=covid-19&draw=4&rank=30		COVOC:0040031	NCT:04288102	NCT04288102 clinical trial	Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)	COVOC:0030022						
NCT04273581			Thalidomide	The Efficacy and Safety of Thalidomide Combined With Low-dose Hormones in the Treatment of Severe COVID-19	Not yet recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04273581?cond=covid-19&draw=5&rank=31		COVOC:0040032	NCT:04286503	NCT04286503 clinical trial	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	CHEBI:134730||CHEBI:31781||CHEBI:45409						Also has input of Carrimycin
NCT04280588			Fingolimod	Fingolimod in COVID-19	Recruiting	2	https://clinicaltrials.gov/ct2/show/NCT04280588?cond=covid-19&draw=5&rank=35												
NCT04293692			UC-MSCs	Therapy for Pneumonia Patients iInfected by 2019 Novel Coronavirus	Withdrawn	Not Applicable	https://clinicaltrials.gov/ct2/show/NCT04293692?cond=covid-19&draw=5&rank=37												
NCT04317040			CD24Fc	CD24Fc as a Non-antiviral Immunomodulator in COVID-19 Treatment (SAC-COVID)	Not yet recruiting	3	https://clinicaltrials.gov/ct2/show/NCT04317040?cond=covid-19&draw=5&rank=38												
NCT04288102			MSCs	Treatment With Mesenchymal Stem Cells for Severe Corona Virus Disease 2019(COVID-19)	Recruiting	1	https://clinicaltrials.gov/ct2/show/NCT04288102?cond=covid-19&draw=5&rank=39												
NCT04286503			Carrimycin	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
NCT04286503	DB13609		Arbidol	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
NCT04286503			Chloroquine phosphate	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
NCT04286503			Lopinavir/Ritonavir	The Clinical Study of Carrimycin on Treatment Patients With COVID-19	Not yet recruiting	4	https://clinicaltrials.gov/ct2/show/NCT04286503?cond=covid-19&draw=5&rank=40												
... to be continued via clinicaltrials.gov ...																			
